# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
15500 26.5121 115655 39811 -4.86948e-15 -2.6937e-18 7.39929e-16 -3.32409 26.5121 -17.849
15600 26.5153 115669 39489.1 -4.74669e-15 2.65765e-18 7.07351e-16 -3.32734 26.5153 -17.874
15700 26.5186 115677 39166.3 -4.60296e-15 -3.98553e-18 6.25576e-16 -3.3306 26.5186 -17.899
15800 26.5218 115679 38842.9 -4.37391e-15 1.18991e-19 6.3925e-16 -3.33385 26.5218 -17.924
15900 26.5251 115676 38519.4 -4.34714e-15 2.83722e-18 6.76412e-16 -3.33711 26.5251 -17.949
16000 26.5283 115666 38196 -4.96958e-15 2.74276e-18 5.12021e-16 -3.34036 26.5283 -17.974
16100 26.5316 115649 37873 -4.55417e-15 -3.32674e-18 4.49159e-16 -3.34362 26.5316 -17.999
16200 26.5348 115626 37550.8 -3.90864e-15 4.43303e-18 2.85713e-16 -3.34687 26.5348 -18.024
16300 26.5381 115595 37229.5 -3.23395e-15 1.05249e-18 -1.42902e-16 -3.35013 26.5381 -18.049
16400 26.5414 115556 36909.4 -2.67354e-15 2.21286e-18 -1.2392e-16 -3.35338 26.5414 -18.074
16500 26.5446 115510 36590.6 -2.81166e-15 -2.54815e-18 -1.08325e-16 -3.35664 26.5446 -18.099
16600 26.5479 115455 36273.2 -2.74404e-15 5.60261e-19 -1.35278e-16 -3.35989 26.5479 -18.124
16700 26.5511 115392 35957.4 -2.78188e-15 1.23653e-18 3.81162e-17 -3.36315 26.5511 -18.149
16800 26.5544 115319 35643.2 -2.40779e-15 3.14419e-20 -1.52526e-17 -3.3664 26.5544 -18.174
16900 26.5576 115238 35330.5 -2.34779e-15 -7.52057e-18 5.97114e-17 -3.36966 26.5576 -18.199
17000 26.5609 115148 35019.4 -2.78563e-15 -3.99149e-18 2.15789e-16 -3.37291 26.5609 -18.224
17100 26.5641 115048 34709.7 -2.99146e-15 2.01878e-18 3.78517e-16 -3.37617 26.5641 -18.249
17200 26.5674 114939 34401.4 -2.63438e-15 -1.80086e-18 2.95814e-16 -3.37942 26.5674 -18.274
17300 26.5707 114821 34094.4 -1.60047e-15 -1.92337e-18 1.39775e-16 -3.38268 26.5707 -18.299
17400 26.5739 114694 33788.4 -1.63721e-15 -1.97325e-19 3.22279e-16 -3.38593 26.5739 -18.324
17500 26.5772 114558 33483.3 -1.32989e-15 1.15468e-18 3.13796e-16 -3.38919 26.5772 -18.349
